ts	phase	decision	why	evidence	result
2026-09-18T01:20:00Z	frame	explored the codebase with a subagent and ran baseline build plus test runner before touching anything	did not trust stale binaries under .build; needed a real baseline	ses_f4f2803c0ffeOq78ceib60zrvR, .build/debug	6 suites green at baseline; runtime defects found
2026-09-18T01:30:00Z	harness	ran VTTModelCheck on FluidAudio 21.4s WAV fixture	prove real Parakeet v2 inference instead of trusting the build	Packages/FluidAudio/Tests/FluidAudioTests/ASR/Parakeet/SlidingWindow/Fixtures/01-validation-request-21.4s.wav	VERIFIED: models loaded, speech transcribed
2026-09-18T01:33:00Z	fan-out	split fixes across two workers on disjoint paths (coordinator/audio/hotkeys vs UI/app packaging), owned insertion and tests myself	no commits exist for worktrees; disjoint file sets avoided write collisions	git status (all untracked)	both workers returned; integration owned by me
2026-09-18T01:40:00Z	insertion	rewrote PasteboardManager: MainActor isolation, full item-type snapshot, change-count guard, empty-text reject, postPaste injectable for tests	original used DispatchQueue.main.sync from main actor = guaranteed SIGTRAP; changeCount+1 guess could eat user copies	PasteboardManager.swift	VERIFIED via InsertionRegression tests in suite
2026-09-18T01:45:00Z	proof	compiled the ORIGINAL PasteboardManager standalone and ran empty-string paste on main thread; process died with signal -5 (SIGTRAP)	prove the deadlock was real, not theoretical, without posting keystrokes	/private/var/folders/y9/hnkm2lv91n5chc4116wp_hf40000gn/T/opencode/vtt-clipboard-check/original-before.log	VERIFIED: exit -5 before, exit 0 after fix
2026-09-18T01:48:00Z	insertion	KeySynthesizer: whole-scalar unicode string events, cleared flags, full allocation pass before posting	one event per UTF-16 unit split surrogate pairs; mid-typing allocation failure duplicated text on paste fallback	KeySynthesizer.swift	build green
2026-09-18T01:50:00Z	insertion	InsertionService rejects secure input, untrusted AX, blank text; trims newlines before typing; protocol + service marked @MainActor	secure input would send passwords into the open field; terminal newline protection promised in spec	InsertionService.swift, AXIsProcessTrusted() verified on this machine (true)	build green
2026-09-18T01:52:00Z	target-matching	made TargetApplication.matches require same PID; window number equality when known; test updated to assert PID mismatch fails; kept bundle-id mismatch check	bundle-id-only matching would allow delivering dictation into a NEW process of the same app after capture	TargetApplication.swift, TargetApplication matching test	VERIFIED in suite
2026-09-18T01:55:00Z	hotkeys/session	worker added ShortcutKeyReducer (pure data shape): Right Option records, Command-held-before latches refined, left Option+V reinserts without recording; coordinator uses captured session mode, not release mode; 120s recording cap; duplicate starts ignored; empty ASR never inserts; audio lifecycle uses separate lock	SessionStateMachine owns mode; release events cannot flip mode mid-session	ShortcutKeyReducer.swift, DictationCoordinator.swift	VERIFIED via SessionRegression suite
2026-09-18T01:58:00Z	app-shell	worker built live status pill bound to PillViewModel, model preload with ready/loading/failed + retry, permission setup window, recovery window, build-app.sh with Info.plist + ad-hoc signing	pill was previously a blank shell; fresh installs had no permission onboarding	IndicatorPanelController.swift, SetupWindowController.swift, scripts/build-app.sh	VERIFIED: VTT.app built, signed, plist lint OK
2026-09-18T02:02:00Z	tests	extended executable test runner to 13 suites incl. coordinator regression (async), insertion regressions, shortcut reducer; fixed TargetApplication test to match new matching contract; skipped vocabulary regex-escape regression (would fail, unrelated to this pass)	assertions prove captured-mode and insertion safety; regex escaping is open, not silently dropped	Tests/VTTTests/main.swift	13 suites green, exit 0
2026-09-18T02:05:00Z	verification	swift build green; swift run vtt-test-runner green (13 suites); swift test fails with "no tests found" (package uses executable runner, not .testTarget; toolchain reports no test cases); app bundle assembled + signed + verified	could not get swift test to pass honestly; documenting rather than hiding	vtt-tests-post-app.log, .build/VTT.app	NOT VERIFIED via swift test; VERIFIED via runner + real model inference + codesign
2026-09-18T02:08:00Z	open	gap: vocabulary regex replacement still uses unescaped template; Options: escape template in VocabularyStore (small, no domain impact) or file as known issue for next pass	replacement text with $ or backslash still gets regex-interpreted	VocabularyStore.swift:41	open
2026-09-18T02:25:00Z	target-capture	TargetValidator.currentTarget now captures the owner's front window number via CGWindowList (layer 0)	matches() had a window check with no production capture; audit flagged it as dead	TargetValidator.swift:20-45	VERIFIED in suite
2026-09-18T02:26:00Z	vocabulary	escaped the replacement template in VocabularyStore	$ and backslash in replacement text were regex-interpreted; audit row flagged	VocabularyStore.swift:41, VocabularyStore alias replacement test	VERIFIED: failing-before proven (exit 133, main.swift:96 assert), passing-after (exit 0)
2026-09-18T02:28:00Z	verification	final state: 13 runner suites green after window-capture + template-escape fixes; .app rebuilt and codesign-valid; Nemo binary statically linked (70 symbol refs in executable)	decisions.tsv:9 was corrected to "would", past claim corrected in reply	.build/VTT.app, vtt-tests-last.log, vtt-build-app-final.log	VERIFIED
2026-09-18T02:35:00Z	verification	probed nil-window behavior by editing the test to windowNumber: nil; runner failed at main.swift:81 as expected, reverted the edit, suite back to green at 13	settle the matches() nil-window hypothesis with a real run rather than leaving an unverified claim	vtt-tests-final2.log (fail), vtt-tests-final3.log (pass)	VERIFIED; matches() requires equal known windows, nil never matches
